名前,ふりがな,アドレス,性別,年齢,誕生日,婚姻,都道府県,電話番号,携帯,キャリア,カレーの食べ方
森川 和之,もりかわ かずゆき,morikawa_kazuyuki@example.com,男,69,1952/2/16,既婚,東京都,036-667-7031,080-7109-1748,ドコモ,右ルー・混ぜ混ぜ派
吉岡 みあ,よしおか みあ,yoshioka_mia@example.com,女,64,1957/4/21,既婚,山形県,071-512-1381,090-7916-4070,au,ぶっかけ・せき止め派
米沢 利夫,よねざわ としお,yonezawa_toshio@example.com,男,63,1958/4/20,既婚,大阪府,089-835-6607,080-6293-3681,au,左ルー・混ぜ混ぜ派
小倉 奈央,おぐら なお,ogura_nao@example.com,女,31,1990/4/8,既婚,東京都,065-471- 765,080-7880-6926,ドコモ,ぶっかけ・ルー攻め派
岩永 彩華,いわなが あやか,iwanaga_ayaka@example.com,女,59,1962/5/19,既婚,静岡県,042-105-6068,080-8738-5741,ソフトバンク,ぶっかけ・ナン派
大友 裕司,おおとも ゆうじ,ootomo_yuuji@example.com,男,38,1983/5/8,既婚,東京都,089-110-7819,090-2870-5634,ドコモ,ぶっかけ・混ぜ混ぜ派
浅川 太朗,あさかわ たろう,asakawa_tarou@example.com,男,25,1995/10/18,未婚,東京都,082-471-9661,080- 341-4837,ドコモ,左ルー・ナン派
若林 進,わかばやし すすむ,wakabayashi_susumu@example.com,男,66,1955/3/21,既婚,福島県,087- 60-2696,090-1033-8659,au,左ルー・別口派
大坪 真奈美,おおつぼ まなみ,ootsubo_manami@example.com,女,63,1958/8/27,既婚,東京都,051-115-2201,090-1876-6357,ドコモ,ぶっかけ・混ぜ混ぜ派
春日 幸子,かすが さちこ,kasuga_sachiko@example.com,女,52,1969/2/15,既婚,福島県,084-139-2203,090-3492-8962,ドコモ,左ルー・ルー攻め派
薬師丸 菊生,やくしまる きくお,yakushimaru_kikuo@example.com,男,71,1950/1/9,既婚,茨城県,025-954-3218,090- 396-4226,ドコモ,右ルー・別口派
北沢 六郎,きたざわ ろくろう,kitazawa_rokurou@example.com,男,77,1944/3/30,既婚,青森県,0 9-641-3675,090-1237-2773,ドコモ,左ルー・せき止め派
赤松 愛子,あかまつ あいこ,akamatsu_aiko@example.com,女,43,1978/9/8,既婚,愛知県,073-852-8746,080-4526-7783,au,ぶっかけ・せき止め派
松居 結子,まつい ゆうこ,matsui_yuuko@example.com,女,56,1965/4/9,既婚,愛媛県,090-522-1836,090-2596-3631,ドコモ,奥ルー・別口派
森下 聖陽,もりした まさあき,morishita_masaaki@example.com,男,20,2000/10/15,未婚,鳥取県,032-530-4984,080-7708-2869,ソフトバンク,ぶっかけ・ルー攻め派
矢口 恵梨香,やぐち えりか,yaguchi_erika@example.com,女,49,1972/1/14,既婚,愛知県,047-341-9138,080-4976-7272,ドコモ,手前ルー・せき止め派
中本 瑠璃亜,なかもと るりあ,nakamoto_ruria@example.com,女,68,1953/2/9,既婚,東京都,032-674-5048,080- 673-4320,au,手前ルー・せき止め派
尾上 まひる,おがみ まひる,ogami_mahiru@example.com,女,45,1976/6/11,既婚,奈良県,011-824-5946,080-6714-8254,au,奥ルー・別口派
勝田 耕司,かつだ こうじ,katsuda_kouji@example.com,男,64,1957/6/28,既婚,東京都,086-355-5549,090- 889-4898,ドコモ,ぶっかけ・ルー攻め派
島本 美佳,しまもと みか,shimamoto_mika@example.com,女,59,1962/6/8,既婚,宮崎県,018-525-1482,090-1937-6927,au,左ルー・せき止め派
藤井 真帆,ふじい まほ,fujii_maho@example.com,女,41,1979/10/25,既婚,徳島県,081-593-2700,090-2370-5298,ドコモ,左ルー・ルー攻め派
三輪 美智子,みわ みちこ,miwa_michiko@example.com,女,57,1963/10/24,既婚,熊本県,087-267-8825,080-2858-3295,ドコモ,右ルー・ルー攻め派
鳥居 浩太郎,とりい こうたろう,torii_koutarou@example.com,男,32,1988/12/17,未婚,神奈川県,078-436-6934,090-9693-4727,au,ぶっかけ・混ぜ混ぜ派
塩見 千夏,しおみ ちなつ,shiomi_chinatsu@example.com,女,38,1983/8/25,既婚,愛知県,057- 61-4696,080-9190-4367,ドコモ,奥ルー・混ぜ混ぜ派
志村 彩華,しむら あやか,shimura_ayaka@example.com,女,64,1957/1/9,既婚,愛知県,019-471-9269,080-8209-3064,au,右ルー・せき止め派
杉本 剛基,すぎもと よしき,sugimoto_yoshiki@example.com,男,67,1954/5/3,既婚,東京都,041-751-8913,080-6223-3069,ツーカー,ぶっかけ・せき止め派
土居 まみ,どい まみ,doi_mami@example.com,女,57,1964/3/17,既婚,大分県,017-730-4923,090-7496-2565,ドコモ,ぶっかけ・せき止め派
細川 花緑,ほそかわ かろく,hosokawa_karoku@example.com,男,50,1970/12/21,既婚,広島県,0  -592-7960,090-4124-5186,ソフトバンク,右ルー・ルー攻め派
滝沢 宏,たきざわ ひろし,takizawa_hiroshi@example.com,男,31,1990/9/21,未婚,秋田県,098-203-6269,090-7967-8623,ドコモ,ぶっかけ・せき止め派
富沢 たまき,とみさわ たまき,tomisawa_tamaki@example.com,女,73,1948/7/2,既婚,山口県,064- 83-4657,090-7421-5705,au,左ルー・ルー攻め派
朝倉 明,あさくら あきら,asakura_akira@example.com,男,23,1998/5/2,未婚,長野県,083- 62-2135,090-  63-6465,au,左ルー・混ぜ混ぜ派
早美 竜也,はやみ たつや,hayami_tatsuya@example.com,男,78,1943/5/14,既婚,福岡県,011-341-1966,080-4921- 922,ソフトバンク,右ルー・混ぜ混ぜ派
永井 龍吉,ながい りゅうきち,nagai_ryuukichi@example.com,男,80,1941/5/30,既婚,大阪府,074-484-7654,080-3067-5495,au,奥ルー・混ぜ混ぜ派
柳田 奈々,やなぎだ なな,yanagida_nana@example.com,女,45,1976/3/23,既婚,三重県,058-628-3615,090-3539-4109,ドコモ,ぶっかけ・混ぜ混ぜ派
奥 遥,おく はるか,oku_haruka@example.com,女,63,1958/3/3,既婚,千葉県,034-345-2322,080- 849-7584,ソフトバンク,左ルー・別口派
榊原 夏希,さかきばら なつき,sakakibara_natsuki@example.com,女,75,1946/3/22,既婚,熊本県,031-653-2437,090-8442-9279,ドコモ,左ルー・混ぜ混ぜ派
足立 瑠璃亜,あだち るりあ,adachi_ruria@example.com,女,22,1999/1/29,未婚,熊本県,040-413- 541,080-4811-9118,ソフトバンク,左ルー・混ぜ混ぜ派
谷本 ひかり,たにもと ひかり,tanimoto_hikari@example.com,女,63,1958/1/15,既婚,東京都,026-620-1871,090-4807- 329,ソフトバンク,左ルー・ルー攻め派
田川 麻由子,たがわ まゆこ,tagawa_mayuko@example.com,女,47,1974/3/11,既婚,千葉県,032-331-2277,090-9741-2774,ドコモ,ぶっかけ・ルー攻め派
岩佐 大五郎,いわさ だいごろう,iwasa_daigorou@example.com,男,23,1997/10/30,既婚,新潟県,065-688-7200,080-3125-4042,au,左ルー・ナン派
水崎 栄一,みさき えいいち,misaki_eiichi@example.com,男,24,1996/10/2,既婚,岐阜県,023-664-4804,090-6497-1675,ドコモ,左ルー・混ぜ混ぜ派
田川 優,たがわ ゆう,tagawa_yuu@example.com,女,72,1948/10/27,既婚,福岡県,074-934- 669,090-8553-1502,ドコモ,ぶっかけ・せき止め派
福山 杏,ふくやま あん,fukuyama_ann@example.com,女,66,1955/6/29,既婚,東京都,079-304-1327,080-7314-3918,au,左ルー・ナン派
古田 隼士,ふるた しゅんじ,furuta_shunji@example.com,男,74,1947/9/2,既婚,宮崎県,023-938-8181,090-8068-7136,ドコモ,左ルー・混ぜ混ぜ派
岡崎 惇,おかざき じゅん,okazaki_jun@example.com,男,39,1982/6/2,既婚,鹿児島県,067-317-3196,090-9022-8565,ドコモ,手前ルー・ナン派
天野 あき,あまの あき,amano_aki@example.com,女,79,1941/12/20,既婚,鳥取県,088-686-6715,080-7996-8443,ドコモ,奥ルー・せき止め派
真田 しほり,さなだ しほり,sanada_shihori@example.com,女,66,1955/6/17,既婚,福岡県,052-814-3719,080-4165-3958,ドコモ,左ルー・別口派
境 千佳子,さかい ちかこ,sakai_chikako@example.com,女,61,1960/5/12,既婚,福岡県,016-559-2661,090-7198-2479,ソフトバンク,左ルー・ルー攻め派
水嶋 なつみ,みずしま なつみ,mizushima_natsumi@example.com,女,52,1969/3/28,既婚,北海道,052-420-8900,090- 744-5692,au,右ルー・せき止め派
清野 メイサ,きよの めいさ,kiyono_meisa@example.com,女,66,1955/8/5,既婚,栃木県,061-851-1323,080-3811- 745,ドコモ,ぶっかけ・ルー攻め派
田尻 くるみ,たじり くるみ,tajiri_kurumi@example.com,女,41,1980/2/7,既婚,愛知県,091-851- 645,080- 545-4464,au,ぶっかけ・別口派
角谷 そら,かどたに そら,kadotani_sora@example.com,女,57,1964/5/1,既婚,埼玉県,089-315-8774,080-8902-9149,ソフトバンク,左ルー・ルー攻め派
大下 さやか,おおした さやか,ooshita_sayaka@example.com,女,28,1992/11/19,既婚,沖縄県,024-748-4994,090-2839-7062,au,右ルー・ナン派
内野 俊二,うちの しゅんじ,uchino_shunji@example.com,男,35,1985/11/21,既婚,東京都,062-778-2391,080-7562-2266,ドコモ,左ルー・ナン派
西秋 勝久,にしあき かつひさ,nishiaki_katsuhisa@example.com,男,58,1962/10/6,既婚,岐阜県,0 8-769-4187,080-5944-1705,au,ぶっかけ・ルー攻め派
ト字 涼,とじ りょう,toji_ryou@example.com,女,79,1941/11/20,既婚,神奈川県,062-707-6136,090- 167-9123,ドコモ,左ルー・ルー攻め派
堤 勝久,つつみ かつひさ,tsutsumi_katsuhisa@example.com,男,68,1952/12/31,既婚,兵庫県,064-201-6985,090-8538- 571,au,奥ルー・せき止め派
本山 満,ほんやま みつる,honnyama_mitsuru@example.com,男,67,1954/6/5,既婚,静岡県,044-898-6840,080-4524-2513,ソフトバンク,左ルー・混ぜ混ぜ派
荻原 隆博,はぎわら たかひろ,hagiwara_takahiro@example.com,男,56,1965/2/6,既婚,奈良県,0 7-521-8680,080-8738-6824,au,ぶっかけ・別口派
宮地 竜也,みやじ たつや,miyaji_tatsuya@example.com,男,48,1973/9/12,未婚,三重県,017-881-1322,080- 240- 154,ソフトバンク,右ルー・せき止め派
島 一樹,しま かずき,shima_kazuki@example.com,男,60,1961/8/26,既婚,大阪府,045-168-9029,080-4110-9812,ドコモ,左ルー・ルー攻め派
中村 一,なかむら はじめ,nakamura_hajime@example.com,男,27,1994/8/19,未婚,神奈川県,098-916- 810,090-8024-6420,ソフトバンク,奥ルー・ルー攻め派
内田 美紀,うちだ みき,uchida_miki@example.com,女,65,1956/6/21,既婚,大阪府,043-323-7854,080-9705-9096,ドコモ,左ルー・せき止め派
永瀬 桃子,ながせ ももこ,nagase_momoko@example.com,女,21,2000/1/7,未婚,新潟県,053- 71-9965,080- 712-5332,ドコモ,左ルー・せき止め派
船橋 ジローラモ,ふなばし じろーらも,funabashi_girolamo@example.com,男,35,1985/9/26,既婚,神奈川県,0 5-725-9895,080-7804-9884,au,左ルー・別口派
石橋 華子,いしばし はなこ,ishibashi_hanako@example.com,女,50,1970/11/3,既婚,新潟県,052-803- 676,080-2661-3467,ドコモ,奥ルー・混ぜ混ぜ派
神山 光洋,かみやま みつひろ,kamiyama_mitsuhiro@example.com,男,32,1989/4/28,既婚,大阪府,0 7- 19-1257,090-9030-9010,ソフトバンク,手前ルー・混ぜ混ぜ派
松岡 寛治,まつおか かんじ,matsuoka_kanji@example.com,男,61,1960/5/9,既婚,埼玉県,065-832-8004,080-7174-9426,au,左ルー・せき止め派
森川 研二,もりかわ けんじ,morikawa_kenji@example.com,男,69,1952/5/23,既婚,山梨県,050-591-1560,080-9786-1645,ドコモ,右ルー・せき止め派
森本 砂羽,もりもと さわ,morimoto_sawa@example.com,女,45,1976/5/8,既婚,沖縄県,081-967-1332,080-1294-7253,ドコモ,ぶっかけ・せき止め派
西原 薫,にしはら かおる,nishihara_kaoru@example.com,男,45,1976/3/28,未婚,愛知県,082-201-6993,090-8003-3512,ドコモ,右ルー・別口派
小杉 愛子,こすぎ あいこ,kosugi_aiko@example.com,女,47,1974/7/11,既婚,奈良県,071-490-7222,080-6227-5310,ソフトバンク,ぶっかけ・ルー攻め派
手塚 獅童,てづか しどう,teduka_shidou@example.com,男,74,1947/1/10,既婚,徳島県,084-494-1238,090-7065-8297,ドコモ,左ルー・せき止め派
内田 啓介,うちだ けいすけ,uchida_keisuke@example.com,男,74,1946/12/13,既婚,奈良県,097-252-4557,080-2703-6091,au,左ルー・別口派
西口 瞬,にしぐち しゅん,nishiguchi_shun@example.com,男,80,1941/1/18,既婚,埼玉県,053-248-1319,090-4506-9241,ドコモ,左ルー・せき止め派
戸塚 利夫,とづか としお,toduka_toshio@example.com,男,62,1959/2/24,未婚,愛知県,093- 80-7978,080-1233-7580,ドコモ,左ルー・混ぜ混ぜ派
馬場 莉緒,ばば りお,baba_rio@example.com,女,49,1972/8/15,既婚,千葉県,0 8-631-3527,080-6163-9385,au,左ルー・ルー攻め派
吉川 竜也,きっかわ たつや,kikkawa_tatsuya@example.com,男,33,1988/6/3,未婚,群馬県,093-977-1482,090-7962- 951,ドコモ,ぶっかけ・せき止め派
佐古 ケンイチ,さこ けんいち,sako_kenichi@example.com,男,62,1959/1/1,既婚,栃木県,052-114-9403,080-5775-9641,ツーカー,手前ルー・混ぜ混ぜ派
川端 真帆,かわばた まほ,kawabata_maho@example.com,女,27,1994/1/24,既婚,岩手県,087-406- 844,090- 296-1142,ドコモ,左ルー・ルー攻め派
川中 竜也,かわなか たつや,kawanaka_tatsuya@example.com,男,45,1976/3/11,既婚,山梨県,0 4-615-9643,080-7558-4729,ソフトバンク,ぶっかけ・せき止め派
小田島 雅彦,おだじま まさひこ,odajima_masahiko@example.com,男,50,1971/8/28,既婚,大阪府,031-956-9887,090-3678-8060,ソフトバンク,ぶっかけ・ルー攻め派
岩谷 美佐子,いわたに みさこ,iwatani_misako@example.com,女,37,1983/12/13,既婚,京都府,074- 41-6161,090-4908-8888,ドコモ,奥ルー・別口派
村中 徹,むらなか とおる,muranaka_tooru@example.com,男,53,1968/2/1,既婚,兵庫県,0 5-616-9908,080-1307-9939,ドコモ,左ルー・せき止め派
宮崎 崇史,みやざき たかし,miyazaki_takashi@example.com,男,59,1961/10/25,既婚,神奈川県,064-184-3717,080-7412-6240,ドコモ,ぶっかけ・せき止め派
北原 友以乃,きたはら ゆいの,kitahara_yuino@example.com,女,69,1952/4/20,既婚,東京都,049-560-1399,080-6860-3402,ソフトバンク,ぶっかけ・混ぜ混ぜ派
深沢 薫,ふかざわ かおる,fukazawa_kaoru@example.com,男,80,1940/12/21,既婚,愛知県,013-644-5831,090-5887-3588,au,ぶっかけ・ルー攻め派
高島 大,たかしま まさる,takashima_masaru@example.com,男,67,1954/7/24,既婚,新潟県,096- 56-2445,080-6391- 517,ソフトバンク,左ルー・ルー攻め派
江川 信吾,えがわ しんご,egawa_shingo@example.com,男,47,1974/2/17,既婚,兵庫県,014-603-4839,080-7657- 999,ドコモ,左ルー・せき止め派
豊原 敏也,とよはら としや,toyohara_toshiya@example.com,男,36,1984/10/19,既婚,神奈川県,068-956-1695,080-6960-5687,ドコモ,ぶっかけ・別口派
前田 和香,まえだ わか,maeda_waka@example.com,女,71,1950/4/20,既婚,新潟県,038-761-3639,080-9241-2876,au,左ルー・別口派
村山 恵子,むらやま けいこ,murayama_keiko@example.com,女,31,1989/11/28,既婚,大阪府,010-959-1516,090-2795- 696,ドコモ,ぶっかけ・別口派
福島 勝久,ふくしま かつひさ,fukushima_katsuhisa@example.com,男,80,1941/6/28,既婚,沖縄県,060-405-7933,090-6801-9272,ソフトバンク,手前ルー・せき止め派
永井 美優,ながい みゅう,nagai_myuu@example.com,女,41,1979/11/1,既婚,千葉県,0  -  1- 948,090-5881-3319,ドコモ,左ルー・ルー攻め派
井村 明日,いむら めいび,imura_meibi@example.com,女,76,1945/1/14,既婚,群馬県,018-275- 753,080-  57-8287,au,ぶっかけ・ルー攻め派
川西 正義,かわにし まさよし,kawanishi_masayoshi@example.com,男,34,1987/8/2,既婚,愛知県,050-381-1307,080-9417-9742,ドコモ,ぶっかけ・ナン派
小椋 七世,おぐら ななせ,ogura_nanase@example.com,女,29,1991/12/29,既婚,広島県,064-781-6122,090-3819-5923,ドコモ,左ルー・ルー攻め派
益岡 美幸,ますおか みゆき,masuoka_miyuki@example.com,女,53,1967/12/13,既婚,静岡県,095-142-3289,090-1966-1566,au,右ルー・ルー攻め派
高樹 菊生,たかぎ きくお,takagi_kikuo@example.com,男,22,1998/9/28,既婚,愛知県,091-106-3616,080-7267-7424,ドコモ,奥ルー・ルー攻め派
目黒 遥,めぐろ はるか,meguro_haruka@example.com,女,68,1953/9/6,既婚,愛知県,070-396-6457,090-9061- 946,ドコモ,奥ルー・ルー攻め派
坂口 勇一,さかぐち ゆういち,sakaguchi_yuuichi@example.com,男,65,1956/4/21,既婚,神奈川県,073-626-3493,080-1939- 706,ツーカー,左ルー・せき止め派
野本 明慶,のもと あきよし,nomoto_akiyoshi@example.com,男,26,1995/5/18,既婚,兵庫県,018-583-5808,090-2305-5272,ドコモ,左ルー・ルー攻め派
今 勇,こん ゆう,kon_yuu@example.com,女,62,1958/9/28,既婚,青森県,0  -975-3029,080-7687-4840,ドコモ,ぶっかけ・ナン派
小椋 扶樹,おぐら もとき,ogura_motoki@example.com,男,59,1962/7/8,既婚,大阪府,042-987- 620,080-1773-4176,au,ぶっかけ・ナン派
高山 宏行,たかやま ひろゆき,takayama_hiroyuki@example.com,男,62,1958/12/31,既婚,岩手県,016-109-6222,080-  13-9616,ドコモ,左ルー・ルー攻め派
今川 獅童,いまがわ しどう,imagawa_shidou@example.com,男,51,1970/5/29,既婚,宮崎県,089-765-6202,080-2371-3719,au,奥ルー・別口派
香川 あさみ,かがわ あさみ,kagawa_asami@example.com,女,79,1942/3/17,既婚,奈良県,041-158-4948,080-7081- 849,ツーカー,ぶっかけ・せき止め派
谷 りえ,たに りえ,tani_rie@example.com,女,32,1989/8/1,未婚,神奈川県,027-855- 556,080-5829-6576,au,ぶっかけ・せき止め派
岩沢 圭,いわさわ けい,iwasawa_kei@example.com,男,43,1978/5/9,既婚,大阪府,013-550-4947,080-6349-6362,au,ぶっかけ・ナン派
児島 隆之介,こじま りゅうのすけ,kojima_ryuunosuke@example.com,男,69,1952/1/21,既婚,東京都,054-573-6620,080-9074- 954,ドコモ,右ルー・ルー攻め派
宮野 敏也,みやの としや,miyano_toshiya@example.com,男,44,1977/3/28,未婚,山形県,056-627- 193,080-9912-4201,ドコモ,手前ルー・ルー攻め派
小田 はじめ,おだ はじめ,oda_hajime@example.com,男,29,1992/4/14,未婚,千葉県,062- 58-7427,080-1035-6885,au,ぶっかけ・混ぜ混ぜ派
酒井 美佐,さかい みさ,sakai_misa@example.com,女,35,1985/11/15,既婚,石川県,033-772-4657,080-4313-5485,ソフトバンク,別盛り・せき止め派
矢田 涼子,やだ りょうこ,yada_ryouko@example.com,女,23,1998/5/10,未婚,千葉県,049-133-1578,090-3757-2247,ドコモ,ぶっかけ・ルー攻め派
小原 佑,おはら たすく,ohara_tasuku@example.com,男,59,1962/4/10,既婚,東京都,054-934-1253,080-7871-9361,au,別盛り・別口派
藤沢 季衣,ふじさわ としえ,fujisawa_toshie@example.com,女,31,1990/5/17,既婚,群馬県,0 9-439-8976,080-5892-8899,ドコモ,ぶっかけ・混ぜ混ぜ派
原田 あや子,はらだ あやこ,harada_ayako@example.com,女,48,1973/7/4,既婚,山梨県,015-619-4940,080-4744-9773,au,左ルー・せき止め派
重田 将也,しげた まさや,shigeta_masaya@example.com,男,36,1984/10/14,既婚,静岡県,013-468-3335,090-4354-5272,ソフトバンク,奥ルー・せき止め派
高岡 浩正,たかおか ひろまさ,takaoka_hiromasa@example.com,男,30,1990/9/29,既婚,埼玉県,088-417-1429,080-7601-8702,ドコモ,手前ルー・せき止め派
新田 克実,あらた かつみ,arata_katsumi@example.com,男,24,1997/1/23,未婚,岡山県,038- 35-4906,090-2053-4028,ドコモ,左ルー・混ぜ混ぜ派
橋口 功補,はしぐち こうすけ,hashiguchi_kousuke@example.com,男,66,1955/8/14,既婚,広島県,0 8-658-2319,090-7212-7822,ドコモ,別盛り・せき止め派
西村 憲史,にしむら のりひと,nishimura_norihito@example.com,男,31,1990/7/18,既婚,奈良県,091-733-6183,090-9708-9792,au,ぶっかけ・別口派
